CCAA,Catalunya,Madrid,Euskadi,País Valencià,ESPANYA,ITÀLIA
Població,7.619.494,6.663.394,2.207.776,5.003.769,47.100.396,60.317.000
20/02/2020,"0,00","0,00","0,00","0,00","0,00","0,00"
21/02/2020,"0,00","0,00","0,00","0,00","0,00","0,03"
22/02/2020,"0,00","0,00","0,00","0,00","0,00","0,10"
23/02/2020,"0,00","0,00","0,00","0,00","0,00","0,26"
24/02/2020,"0,00","0,00","0,00","0,02","0,00","0,38"
25/02/2020,"0,00","0,00","0,00","0,02","0,01","0,53"
26/02/2020,"0,00","0,00","0,00","0,02","0,03","0,75"
27/02/2020,"0,03","0,03","0,00","0,16","0,03","1,09"
28/02/2020,"0,04","0,08","0,00","0,20","0,07","1,47"
29/02/2020,"0,04","0,08","0,00","0,30","0,10","1,87"
01/03/2020,"0,08","0,15","0,14","0,30","0,18","2,81"
02/03/2020,"0,20","0,44","0,41","0,30","0,25","3,38"
03/03/2020,"0,20","0,51","0,59","0,30","0,35","4,15"
04/03/2020,"0,20","1,05","0,68","0,32","0,47","5,12"
05/03/2020,"0,20","1,05","0,77","0,38","0,55","6,40"
06/03/2020,"0,20","2,61","0,77","0,38","0,85","7,69"
07/03/2020,"0,31","3,03","2,04","0,48","1,06","9,75"
08/03/2020,"0,64","3,03","4,62","0,50","1,43","12,23"
09/03/2020,"0,98","7,04","6,75","0,60","2,28","15,21"
10/03/2020,"1,63","11,74","8,83","0,86","3,60","16,83"
11/03/2020,"2,05","15,37","10,19","1,04","4,83","20,66"
12/03/2020,"3,41","20,83","15,67","1,38","4,83","20,66"
13/03/2020,"4,15","29,86","18,89","2,12","11,11","29,28"
14/03/2020,"9,38","44,12","23,60","2,52","13,57","35,08"
15/03/2020,"11,85","53,19","28,54","4,58","16,56","41,03"
16/03/2020,"18,30","73,10","34,65","5,62","21,11","46,39"
17/03/2020,"24,49","84,60","44,07","6,08","24,94","52,23"
18/03/2020,"35,46","101,70","53,90","7,53","29,53","59,21"
19/03/2020,"42,92","107,53","66,36","10,43","38,14","68,03"
20/03/2020,"55,16","133,88","78,13","12,53","43,33","77,96"
21/03/2020,"61,74","145,60","94,98","15,15","53,87","88,83"
22/03/2020,,,,"18,19",,