Dia,Catalunya,Madrid,Euskadi,País Valencià,ESPANYA,ITÀLIA
1,0.02624846216822272,0.030014734233035,0.1358833504848318,0.01998493535572885,0.012738746400348736,0.03315814778586468
2,0.03937269325233408,0.07503683558258749,0.40765005145449534,0.0399698707114577,0.027600617200755594,0.1027902581361805
3,0.03937269325233408,0.07503683558258749,0.5888278521009378,0.0399698707114577,0.03184686600087184,0.25697564534045125
4,0.07874538650466816,0.15007367116517498,0.679416752424159,0.17986441820155966,0.06793998080185992,0.3796607921481506
5,0.19686346626167037,0.43521364637900745,0.7700056527473802,0.21983428891301734,0.09554059800261552,0.5338461793524214
6,0.19686346626167037,0.510250481961595,0.7700056527473802,0.3197589656916616,0.1783424496048823,0.751032047349835
7,0.19686346626167037,1.050515698156225,2.0382502572724768,0.3197589656916616,0.2547749280069747,1.0859293399870684
8,0.19686346626167037,1.050515698156225,4.620033916484281,0.3197589656916616,0.35031552600959026,1.4722217616923918
9,0.19686346626167037,2.6112818782740446,6.748873074079979,0.3197589656916616,0.4713336168129032,1.870119535122768
10,0.3149815460186726,3.0314881575365344,8.832417781514067,0.39969870711457706,0.5498892196150538,2.8084951174627384
11,0.6430873231214566,3.0314881575365344,10.191251286362384,0.5595781899604079,0.849249760023249,3.375499444601025
12,0.984317331308352,7.038455177646707,15.671879755917267,0.5795631253161367,1.0615622000290612,4.148084288011672
13,1.6274046544298086,11.735761085116684,18.88778571739162,0.7394426081619675,1.4246164724390002,5.11630220335892
14,2.021131586953149,15.337529193080885,23.46252518371429,0.8193823495848829,2.265373734862017,6.3630485601074325
15,3.3729273886166196,20.7551887221437,28.12785355036018,0.9592768970749849,3.571095240897762,7.583268398627253
16,4.107884329326856,29.789623726287235,34.061426521531175,1.2590509274109176,4.802507392931473,9.496493525871646
17,9.305079838634954,43.97158565139627,43.39208325482296,1.338990668833833,4.766414278130486,11.84740620388945
18,11.654317202690887,52.75089541455901,53.130390039569235,1.7786592466598679,11.012646263101482,14.672480395245122
19,18.098314664989566,72.59063474259514,65.58636383401215,2.717951208379124,13.390545591166578,16.075070046587197
20,24.292951736690128,83.54601273765292,76.0946762715058,3.5173486226082775,16.301349143646267,19.574912545385214
21,35.26480892300722,100.65441125048287,90.36242807241314,7.81410972408998,20.757787259368268,19.188620123679893
22,42.71937217878247,104.91650351157384,102.90899076717928,9.952497807152968,24.47113183506992,27.408524959795745
24,54.84616170050137,130.84923388891607,114.73084225935965,10.412151320334733,28.98277118519343,32.267851517814215
25,61.09329569653838,142.56998760691624,137.9668951922659,13.949484878298739,37.28843383822081,37.65273471823864
26,76.77675184205145,151.66445207952583,163.06002058179814,17.826562337310136,42.27140680515722,42.24016446441301
27,101.58154859102191,173.63523753810745,,21.343910959918414,52.4475420546358,47.117728003713715
28,128.39435269586144,203.72500860672505,,26.420084540273542,69.51533910670305,52.84579803372184
29,148.76315933840226,236.86127519999567,,31.096559413514093,80.65961908260815,60.448961321020604
30,,,,36.73231118382963,96.27944529383575,68.45996982608551
31,,,,41.968364247030586,114.5276995123353,76.97995589966344
32,,,,50.50193164392681,,83.37284679277815
33,,,,61.2338419299532,,89.90997562876137
34,,,,,,95.11248901636354
35,,,,,,104.13647893628662
,,,,,,
,,,,,,
,,,,,,
,,,,,,