Dia,Catalunya,Madrid,Euskadi,País Valencià,Espanya,Itàlia
1,0.1312423108411136,1.2005893693214,2.26472250808053,2.3981922426874624,0.10615622000290613,0.11605351725052639
2,0.3937269325233408,3.1515470944686745,2.717667009696636,2.3981922426874624,0.21231244000581226,0.1657907389293234
3,0.3937269325233408,4.652283806120424,2.717667009696636,4.196836424703059,0.36093114800988085,0.1989488867151881
4,0.5249692433644544,8.4041255852498,4.982389517777166,4.596535131817636,0.5944748320162743,0.28184425617984976
5,0.5249692433644544,12.155967364379174,6.341223022625484,6.395179313833232,0.743093540020343,0.3481605517515792
6,0.7874538650466816,12.906335720205048,6.341223022625484,9.792618324307137,1.1464871760313862,0.48079314289503794
7,1.0499384867289088,31.96569195818227,10.417723537170438,13.589756041895619,1.1677184200319675,0.5636885123596995
8,2.3623615951400447,53.27615326363712,16.306002058179814,18.785839234385122,2.823755452077303,0.8621118424324817
9,5.380934744485658,58.52873175441824,18.11778006464424,22.98267565908818,4.140092580113339,1.309746837541655
10,7.218327096261248,74.73668824025714,24.00605858565362,29.77755368003599,6.135829516167975,1.7739609065437605
11,10.761869488971316,94.24626549172989,32.15905961474352,33.37484204406718,7.26108544819878,2.453702936153986
12,16.01156192261586,120.65923161680068,38.50028263736901,39.17047329722855,11.295021808309212,3.249498483014739
13,25.067281370652697,153.22521825964364,43.93561665676228,46.36505002529094,13.184602524360942,3.8297660692673707
14,32.02312384523172,188.34245731229458,52.088617685852185,,17.558238788480676,6.0182038231344395
15,44.09741644261417,227.21153814407492,57.52395170524546,,22.038031272603313,7.560057695177147
16,67.32730546149128,269.23216607032396,67.4887307407998,,28.980648060793374,10.295604887510985
17,87.66986364186388,305.2498471499659,76.5476207731219,,45.96564326125836,13.511945222739858
18,115.49323354017997,361.9776948504021,93.75951183453394,,56.64495899355071,13.429049853275195
19,140.42927259999155,413.7531114023874,100.10073485715942,,72.16499835797559,20.640946996700766
20,,,,,85.66806954234525,23.409652336820464
21,,,,,103.1413833548236,29.427856159954903
22,,,,,120.80577836330718,34.91552961851551
23,,,,,,40.18767511646799
24,,,,,,47.59852114660875
25,,,,,,53.998043669280634
26,,,,,,63.597327453288464
27,,,,,,76.16426546413118
28,,,,,,84.76880481456305
29,,,,,,93.19097435217269
30,,,,,,102.77367906228757
31,,,,,,110.8808461959315
32,,,,,,136.1970920304392
33,,,,,,151.43326093804401
,,,,,,
,,,,,,
,,,,,,