Dies,Catalunya,Madrid,Euskadi,País Valencià,ESPANYA,ITÀLIA,
1,2,2,3,1,2,3,
2,3,5,9,2,6,20,
3,3,5,13,2,13,62,
4,6,10,15,9,15,155,
5,15,29,17,11,32,229,
6,15,34,17,16,45,322,
7,15,70,45,16,84,453,
8,15,70,102,16,120,655,
9,15,174,149,16,165,888,
11,24,202,195,20,222,1128,
12,49,202,225,28,259,1694,
13,75,469,346,29,400,2036,
14,124,782,417,37,500,2502,
15,156,1024,521,42,673,3089,
16,260,1388,630,50,1073,3858,
17,316,1990,765,65,1695,4636,
18,715,2940,973,76,2277,5883,
19,903,3544,1190,100,2277,7375,
20,1394,4871,1465,152,5232,9172,
21,1866,5637,1725,192,6391,10149,
22,2702,6777,2097,407,7798,12462,
23,3270,7165,2421,514,9942,12462,
24,4203,8921,2728,541,11748,17660,
25,4704,9702,3271,726,13910,21157,
26,5925,10575,,921,17963,24747,
27,7864,12352,,1105,20410,27980,
28,9937,14597,,1363,25374,31506,
29,,,,1604,33809,35713,
30,,,,1901,39673,41035,
31,,,,2167,47610,47021,
32,,,,2616,,53578,
33,,,,,,59138,
34,,,,,,63927,
35,,,,,,69176,
36,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,