,Catalunya,Madrid,Euskadi,País Valencià,Espanya,Itàlia
Thu Feb 20 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0,0,0
Fri Feb 21 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0,0,0.016579073892932342
Sat Feb 22 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0,0,0.033158147785864685
Sun Feb 23 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0,0,0.049737221678797024
Mon Feb 24 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0,0.11605351725052639
Tue Feb 25 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0,0.1657907389293234
Wed Feb 26 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0,0.1989488867151881
Thu Feb 27 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0,0.28184425617984976
Fri Feb 28 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0,0.3481605517515792
Sat Feb 29 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0,0.48079314289503794
Sun Mar 01 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0,0.5636885123596995
Mon Mar 02 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0,0.8621118424324817
Tue Mar 03 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0.021231244000581226,1.309746837541655
Wed Mar 04 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0.04246248800116245,1.7739609065437605
Thu Mar 05 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0.06369373200174368,2.453702936153986
Fri Mar 06 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0.10615622000290613,3.266077556907671
Sat Mar 07 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0.21231244000581226,3.862924217053235
Sun Mar 08 2020 00:00:00 GMT+0100 (Central European Standard Time),0,0,0,0.1998493535572885,0.36093114800988085,6.067941044813237
Mon Mar 09 2020 00:00:00 GMT+0100 (Central European Standard Time),0.1312423108411136,1.2005893693214,2.26472250808053,0.1998493535572885,0.5944748320162743,7.676111212427673
Tue Mar 10 2020 00:00:00 GMT+0100 (Central European Standard Time),0.3937269325233408,3.1515470944686745,2.717667009696636,0.1998493535572885,0.743093540020343,10.461395626440307
Wed Mar 11 2020 00:00:00 GMT+0100 (Central European Standard Time),0.3937269325233408,4.652283806120424,2.717667009696636,0.1998493535572885,1.1464871760313862,13.710894109455046
Thu Mar 12 2020 00:00:00 GMT+0100 (Central European Standard Time),0.5249692433644544,8.4041255852498,4.982389517777166,0.1998493535572885,1.1677184200319675,13.710894109455046
Fri Mar 13 2020 00:00:00 GMT+0100 (Central European Standard Time),0.5249692433644544,12.155967364379174,6.341223022625484,0.5995480606718656,2.823755452077303,20.989107548452345
Sat Mar 14 2020 00:00:00 GMT+0100 (Central European Standard Time),0.7874538650466816,12.906335720205048,6.341223022625484,0.5995480606718656,4.140092580113339,23.890445479715503
Sun Mar 15 2020 00:00:00 GMT+0100 (Central European Standard Time),1.0499384867289088,31.96569195818227,10.417723537170438,0.799397414229154,6.135829516167975,29.991544672314603
Mon Mar 16 2020 00:00:00 GMT+0100 (Central European Standard Time),2.3623615951400447,53.27615326363712,16.306002058179814,2.5980415962447507,7.26108544819878,35.77764146094799
Tue Mar 17 2020 00:00:00 GMT+0100 (Central European Standard Time),5.380934744485658,58.52873175441824,18.11778006464424,2.5980415962447507,11.316253052309794,41.497421954009646
Wed Mar 18 2020 00:00:00 GMT+0100 (Central European Standard Time),7.218327096261248,74.73668824025714,24.00605858565362,4.3966857782603475,13.227065012362104,49.37248205315251
Thu Mar 19 2020 00:00:00 GMT+0100 (Central European Standard Time),10.761869488971316,94.24626549172989,32.15905961474352,4.796384485374925,17.62193252048242,56.45174660543462
Fri Mar 20 2020 00:00:00 GMT+0100 (Central European Standard Time),16.01156192261586,120.65923161680068,38.50028263736901,6.595028667390522,22.144187492606218,66.8468259363032
Sat Mar 21 2020 00:00:00 GMT+0100 (Central European Standard Time),25.067281370652697,153.22521825964364,43.93561665676228,9.992467677864425,29.192960500799188,79.99403153339854
Sun Mar 22 2020 00:00:00 GMT+0100 (Central European Standard Time),32.15436615607283,189.543046681616,54.353340193932716,13.789605395452908,46.32657440926823,90.7870086376975
Mon Mar 23 2020 00:00:00 GMT+0100 (Central European Standard Time),44.49114337513751,230.3630852385436,60.24161871494209,18.785839234385122,57.23943382556699,100.75103204734984
Tue Mar 24 2020 00:00:00 GMT+0100 (Central European Standard Time),67.72103239401461,273.8844498764443,70.20639775049642,22.98267565908818,72.90809189799593,113.06928394979857
Wed Mar 25 2020 00:00:00 GMT+0100 (Central European Standard Time),88.19483288522834,313.65397273521575,81.53001029089907,29.77755368003599,86.81455671837664,124.39279141867135
Thu Mar 26 2020 00:00:00 GMT+0100 (Central European Standard Time),,,,33.37484204406718,,