,Demarcació,Thu Feb 13 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Feb 14 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Feb 15 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Feb 16 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Feb 17 2020 00:00:00 GMT+0100 (Central European Standard Time),Tue Feb 18 2020 00:00:00 GMT+0100 (Central European Standard Time),Wed Feb 19 2020 00:00:00 GMT+0100 (Central European Standard Time),Thu Feb 20 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Feb 21 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Feb 22 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Feb 23 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Feb 24 2020 00:00:00 GMT+0100 (Central European Standard Time),Tue Feb 25 2020 00:00:00 GMT+0100 (Central European Standard Time),Wed Feb 26 2020 00:00:00 GMT+0100 (Central European Standard Time),Thu Feb 27 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Feb 28 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Feb 29 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Mar 01 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Mar 02 2020 00:00:00 GMT+0100 (Central European Standard Time),Tue Mar 03 2020 00:00:00 GMT+0100 (Central European Standard Time),Wed Mar 04 2020 00:00:00 GMT+0100 (Central European Standard Time),Thu Mar 05 2020 00:00:00 GMT+0100 (Central European Standard Time),Fri Mar 06 2020 00:00:00 GMT+0100 (Central European Standard Time),Sat Mar 07 2020 00:00:00 GMT+0100 (Central European Standard Time),Sun Mar 08 2020 00:00:00 GMT+0100 (Central European Standard Time),Mon Mar 09 2020 00:00:00 GMT+0100 (Central European Standard Time)
Hospital de la Vega Baja,Alacant,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2
Hospital General d'Alacant,Alacant,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2
Hospital General Universitari d'Elx,Alacant,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
Hospital Sant Joan d'Alacant,Alacant,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
NA - Alacant,Alacant,,,,,,,,,,,,,,,,,,,,,,,,3,7,9
Hospital La Plana,Castelló,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NA - Castelló,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Hospital Provincial de Castelló,Castelló,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
Hospital Arnau de Vilanova,València,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,5,5,6,6,6
Hospital Clínic Univeritari de València,València,,,,,,,,,,,,,,,3,4,4,4,4,4,4,6,6,6,6,6
Hospital de Manises,València,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital de Sagunt,València,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
Hospital Doctor Peset,València,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1
Hospital General de València,València,,,,,,,,,,,,,,,2,2,4,4,4,4,5,5,5,5,5,5
Hospital La Fe,València,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2
NA - València,València,,,,,,,,,,,,,,,,,,,,,,,,1,4,7
Domicili,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,0,0
TOTAL,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,9,11,16,16,16,18,22,30,31,37,42,48